"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH]","C(SignalNet1,SignalNet1) [pF]"
397,79.76035737021,303.903614720659,
398,79.8607480422548,303.863419288366,
399,79.9610126743865,303.823375061561,
400,80.0611517401436,303.783481094616,
401,80.1611657101068,303.743736450165,
402,80.2610550519247,303.704140199007,
403,80.3608202303398,303.664691420015,
404,80.4604617072129,303.625389200047,
405,80.559979941549,303.58623263386,
406,80.659375389521,303.547220824017,
407,80.758648504495,303.508352880804,
408,80.8577997370536,303.469627922143,
409,80.9568295350204,303.431045073511,
410,81.0557383434835,303.392603467854,
411,81.1545266048182,303.354302245506,
412,81.2531947587112,303.316140554109,
413,81.3517432421822,303.278117548531,
414,81.4501724896076,303.240232390792,
415,81.5484829327421,303.202484249981,
416,81.646675000741,303.164872302184,
417,81.7447491201822,303.127395730405,
418,81.8427057150875,303.090053724494,
419,81.9405452069445,303.052845481072,
420,82.0382680147272,303.015770203458,
421,82.1358745549173,302.9788271016,
422,82.2333652415247,302.942015392002,
423,82.3307404861082,302.905334297652,
424,82.4280006977956,302.86878304796,
425,82.5251462833038,302.832360878683,
426,82.6221776469586,302.796067031861,
427,82.7190951907145,302.759900755751,
428,82.8158993141738,302.723861304761,
429,82.9125904146064,302.687947939386,
430,83.009168886968,302.652159926142,
431,83.1056351239196,302.616496537507,
432,83.2019895158461,302.580957051854,
433,83.2982324508741,302.545540753396,
434,83.3943643148909,302.510246932118,
435,83.4903854915621,302.475074883724,
436,83.5862963623496,302.440023909573,
437,83.6820973065293,302.405093316624,
438,83.7777887012085,302.370282417378,
439,83.8733709213433,302.335590529817,
440,83.9688443397557,302.301016977354,
441,84.0642093271508,302.266561088774,
442,84.159466252133,302.232222198181,
443,84.2546154812234,302.197999644941,
444,84.3496573788756,302.163892773633,
445,84.4445923074924,302.129900933992,
446,84.5394206274416,302.09602348086,
447,84.6341426970723,302.062259774132,
448,84.7287588727304,302.028609178708,
449,84.8232695087745,301.995071064442,
450,84.917674957591,301.96164480609,
451,85.0119755696101,301.928329783263,
452,85.1061716933201,301.895125380381,
453,85.2002636752832,301.86203098662,
454,85.2942518601498,301.829045995869,
455,85.3881365906738,301.796169806682,
456,85.4819182077266,301.763401822231,
457,85.5755970503119,301.730741450262,
458,85.66917345558,301.69818810305,
459,85.7626477588417,301.665741197353,
460,85.8560202935825,301.633400154369,
461,85.9492913914765,301.601164399695,
462,86.0424613824002,301.569033363278,
463,86.1355305944459,301.537006479381,
464,86.2284993539353,301.505083186532,
465,86.3213679854329,301.473262927492,
466,86.4141368117591,301.441545149207,
467,86.5068061540034,301.40992930277,
468,86.5993763315372,301.378414843383,
469,86.6918476620271,301.347001230313,
470,86.7842204614468,301.315687926859,
471,86.8764950440906,301.284474400308,
472,86.9686717225852,301.253360121901,
473,87.0607508079025,301.222344566792,
474,87.1527326093714,301.191427214014,
475,87.2446174346904,301.160607546441,
476,87.3364055899393,301.129885050749,
477,87.4280973795912,301.099259217385,
478,87.5196931065241,301.068729540527,
479,87.6111930720331,301.038295518053,
480,87.7025975758413,301.007956651502,
481,87.7939069161115,300.977712446045,
482,87.8851213894579,300.947562410444,
483,87.9762412909568,300.917506057026,
484,88.067266914158,300.887542901645,
485,88.1581985510959,300.85767246365,
486,88.2490364923002,300.827894265854,
487,88.3397810268071,300.798207834502,
488,88.4304324421696,300.768612699237,
489,88.5209910244684,300.739108393071,
490,88.6114570583224,300.709694452354,
491,88.701830826899,300.680370416741,
492,88.7921126119246,300.651135829167,
493,88.8823026936949,300.621990235808,
494,88.9724013510847,300.592933186063,
495,89.0624088615584,300.563964232514,
496,89.1523255011797,300.535082930903,
497,89.2421515446215,300.506288840105,
498,89.3318872651758,300.477581522093,
499,89.4215329347634,300.448960541915,
500,89.5110888239433,300.420425467667,
