Date:  15:42, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
20344  ,3.488e+002  ,-2.2338  ,9.9186  ,3.5005  ,iso-1
20345  ,3.497e+002  ,-2.2337  ,9.9186  ,2.0593  ,iso-1
20346  ,3.508e+002  ,-2.2348  ,9.9186  ,0.61725  ,iso-1
20347  ,3.522e+002  ,-2.2477  ,9.9186  ,-0.83292  ,iso-1
20348  ,3.545e+002  ,-2.3208  ,9.9186  ,-2.31  ,iso-1
20349  ,3.536e+002  ,-2.0566  ,9.9186  ,-8.1265  ,iso-1
20350  ,3.516e+002  ,-2.1929  ,9.9186  ,-9.7331  ,iso-1
20351  ,3.504e+002  ,-2.2248  ,9.9186  ,-11.193  ,iso-1
20352  ,3.494e+002  ,-2.2318  ,9.9186  ,-12.636  ,iso-1
20353  ,3.486e+002  ,-2.2333  ,9.9186  ,-14.077  ,iso-1
20354  ,3.479e+002  ,-2.2336  ,9.9186  ,-15.518  ,iso-1
20355  ,3.473e+002  ,-2.2337  ,9.9186  ,-16.96  ,iso-1
20356  ,3.468e+002  ,-2.2337  ,9.9186  ,-18.401  ,iso-1
20357  ,3.464e+002  ,-2.2337  ,9.9186  ,-19.842  ,iso-1
20358  ,3.460e+002  ,-2.2337  ,9.9186  ,-21.283  ,iso-1
20359  ,3.456e+002  ,-2.2337  ,9.9186  ,-22.724  ,iso-1
20360  ,3.453e+002  ,-2.2337  ,9.9186  ,-24.165  ,iso-1
20361  ,3.451e+002  ,-2.2337  ,9.9186  ,-25.606  ,iso-1
20362  ,3.448e+002  ,-2.2337  ,9.9186  ,-27.049  ,iso-1
20363  ,3.446e+002  ,-2.2337  ,9.9186  ,-28.506  ,iso-1
20364  ,3.445e+002  ,-2.2337  ,9.9186  ,-29.957  ,iso-1
20365  ,3.444e+002  ,-2.2337  ,9.9186  ,-30.925  ,iso-1
20366  ,3.444e+002  ,-0.81303  ,9.9186  ,20.811  ,iso-1
20367  ,3.445e+002  ,-0.81303  ,9.9186  ,19.373  ,iso-1
20368  ,3.446e+002  ,-0.81303  ,9.9186  ,17.934  ,iso-1
20369  ,3.448e+002  ,-0.81303  ,9.9186  ,16.495  ,iso-1
20370  ,3.451e+002  ,-0.81305  ,9.9186  ,15.056  ,iso-1
20371  ,3.454e+002  ,-0.81314  ,9.9186  ,13.617  ,iso-1
20372  ,3.457e+002  ,-0.81327  ,9.9186  ,12.178  ,iso-1
20373  ,3.460e+002  ,-0.81325  ,9.9186  ,10.739  ,iso-1
20374  ,3.464e+002  ,-0.81312  ,9.9186  ,9.299  ,iso-1
20375  ,3.468e+002  ,-0.81317  ,9.9186  ,7.8594  ,iso-1
20376  ,3.473e+002  ,-0.81328  ,9.9186  ,6.4198  ,iso-1
20377  ,3.479e+002  ,-0.81323  ,9.9186  ,4.9803  ,iso-1
20378  ,3.485e+002  ,-0.81312  ,9.9186  ,3.5411  ,iso-1
20379  ,3.492e+002  ,-0.81306  ,9.9186  ,2.1021  ,iso-1
20380  ,3.501e+002  ,-0.81334  ,9.9186  ,0.66302  ,iso-1
20381  ,3.511e+002  ,-0.81758  ,9.9186  ,-0.77849  ,iso-1
20382  ,3.524e+002  ,-0.84146  ,9.9186  ,-2.2289  ,iso-1
20383  ,3.537e+002  ,-0.90437  ,9.9186  ,-3.6867  ,iso-1
20384  ,3.544e+002  ,-0.81303  ,9.9186  ,-5.057  ,iso-1
20385  ,3.531e+002  ,-0.8149  ,9.9186  ,-7.0196  ,iso-1
20386  ,3.516e+002  ,-0.4854  ,9.9186  ,-8.386  ,iso-1
20387  ,3.509e+002  ,-0.72104  ,9.9186  ,-9.5483  ,iso-1
20388  ,3.499e+002  ,-0.79008  ,9.9186  ,-10.969  ,iso-1
20389  ,3.491e+002  ,-0.80782  ,9.9186  ,-12.408  ,iso-1
