Date:  14:27, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal2
Time step: 1
Result Type: HFluxY 


Node  ,Value (W/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
18020  ,-4.063e+002  ,-2.2231  ,9.9186  ,-16.628  ,iso-1
18021  ,-5.155e+002  ,-2.2231  ,9.9186  ,-18.074  ,iso-1
18022  ,-4.162e+002  ,-2.2231  ,9.9186  ,-19.521  ,iso-1
18023  ,-3.566e+002  ,-2.2231  ,9.9186  ,-20.967  ,iso-1
18024  ,-3.805e+002  ,-2.2231  ,9.9186  ,-22.414  ,iso-1
18025  ,-4.175e+002  ,-2.2231  ,9.9186  ,-23.86  ,iso-1
18026  ,-4.688e+002  ,-2.2231  ,9.9186  ,-25.306  ,iso-1
18027  ,-6.092e+002  ,-2.2231  ,9.9186  ,-26.753  ,iso-1
18028  ,-1.021e+003  ,-2.2231  ,9.9186  ,-28.199  ,iso-1
18029  ,-2.055e+003  ,-2.2231  ,9.9186  ,-29.646  ,iso-1
18030  ,-2.023e+003  ,-0.79717  ,9.9186  ,19.532  ,iso-1
18031  ,-9.606e+002  ,-0.79717  ,9.9186  ,18.085  ,iso-1
18032  ,-5.841e+002  ,-0.79717  ,9.9186  ,16.639  ,iso-1
18033  ,-4.604e+002  ,-0.79717  ,9.9186  ,15.192  ,iso-1
18034  ,-4.195e+002  ,-0.79717  ,9.9186  ,13.746  ,iso-1
18035  ,-3.445e+002  ,-0.79717  ,9.9186  ,12.3  ,iso-1
18036  ,-4.907e+002  ,-0.79717  ,9.9186  ,10.853  ,iso-1
18037  ,-4.723e+002  ,-0.79717  ,9.9186  ,9.4069  ,iso-1
18038  ,-4.176e+002  ,-0.79717  ,9.9186  ,7.9605  ,iso-1
18039  ,-5.641e+002  ,-0.79717  ,9.9186  ,6.5141  ,iso-1
18040  ,-4.637e+002  ,-0.79717  ,9.9186  ,5.0677  ,iso-1
18041  ,-8.989e+002  ,-0.79717  ,9.9186  ,3.6214  ,iso-1
18042  ,-2.707e+003  ,-0.79717  ,9.9186  ,2.175  ,iso-1
18043  ,-4.955e+003  ,-0.79717  ,9.9186  ,0.72857  ,iso-1
18044  ,-9.993e+003  ,-0.79717  ,9.9186  ,-0.71781  ,iso-1
18045  ,-1.282e+004  ,-0.79717  ,9.9186  ,-2.1642  ,iso-1
18046  ,-3.058e+004  ,-0.79717  ,9.9186  ,-3.6106  ,iso-1
18047  ,-4.211e+004  ,-0.79717  ,9.9186  ,-5.057  ,iso-1
18048  ,-3.587e+004  ,-0.79717  ,9.9186  ,-6.5034  ,iso-1
18049  ,-1.589e+004  ,-0.79717  ,9.9186  ,-7.9498  ,iso-1
18050  ,-1.014e+004  ,-0.79717  ,9.9186  ,-9.3961  ,iso-1
18051  ,-6.559e+003  ,-0.79717  ,9.9186  ,-10.843  ,iso-1
18052  ,-2.671e+003  ,-0.79717  ,9.9186  ,-12.289  ,iso-1
18053  ,-9.506e+002  ,-0.79717  ,9.9186  ,-13.735  ,iso-1
18054  ,-4.377e+002  ,-0.79717  ,9.9186  ,-15.182  ,iso-1
18055  ,-5.770e+002  ,-0.79717  ,9.9186  ,-16.628  ,iso-1
18056  ,-5.442e+002  ,-0.79717  ,9.9186  ,-18.074  ,iso-1
18057  ,-4.410e+002  ,-0.79717  ,9.9186  ,-19.521  ,iso-1
18058  ,-4.397e+002  ,-0.79717  ,9.9186  ,-20.967  ,iso-1
18059  ,-4.018e+002  ,-0.79717  ,9.9186  ,-22.414  ,iso-1
18060  ,-3.968e+002  ,-0.79717  ,9.9186  ,-23.86  ,iso-1
18061  ,-4.682e+002  ,-0.79717  ,9.9186  ,-25.306  ,iso-1
18062  ,-6.086e+002  ,-0.79717  ,9.9186  ,-26.753  ,iso-1
