Date:  14:26, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17995  ,3.445e+002  ,-2.2231  ,9.9186  ,19.532  ,iso-1
17996  ,3.447e+002  ,-2.2231  ,9.9186  ,18.085  ,iso-1
17997  ,3.448e+002  ,-2.2231  ,9.9186  ,16.639  ,iso-1
17998  ,3.451e+002  ,-2.2231  ,9.9186  ,15.192  ,iso-1
17999  ,3.453e+002  ,-2.2231  ,9.9186  ,13.746  ,iso-1
18000  ,3.456e+002  ,-2.2231  ,9.9186  ,12.3  ,iso-1
18001  ,3.459e+002  ,-2.2231  ,9.9186  ,10.853  ,iso-1
18002  ,3.463e+002  ,-2.2231  ,9.9186  ,9.4069  ,iso-1
18003  ,3.467e+002  ,-2.2231  ,9.9186  ,7.9605  ,iso-1
18004  ,3.472e+002  ,-2.2231  ,9.9186  ,6.5141  ,iso-1
18005  ,3.478e+002  ,-2.2231  ,9.9186  ,5.0677  ,iso-1
18006  ,3.484e+002  ,-2.2231  ,9.9186  ,3.6214  ,iso-1
18007  ,3.492e+002  ,-2.2231  ,9.9186  ,2.175  ,iso-1
18008  ,3.502e+002  ,-2.2231  ,9.9186  ,0.72857  ,iso-1
18009  ,3.515e+002  ,-2.2231  ,9.9186  ,-0.71781  ,iso-1
18010  ,3.534e+002  ,-2.2231  ,9.9186  ,-2.1642  ,iso-1
18011  ,3.563e+002  ,-2.2231  ,9.9186  ,-3.6106  ,iso-1
18012  ,3.587e+002  ,-2.2231  ,9.9186  ,-5.057  ,iso-1
18013  ,3.563e+002  ,-2.2231  ,9.9186  ,-6.5034  ,iso-1
18014  ,3.534e+002  ,-2.2231  ,9.9186  ,-7.9498  ,iso-1
18015  ,3.515e+002  ,-2.2231  ,9.9186  ,-9.3961  ,iso-1
18016  ,3.502e+002  ,-2.2231  ,9.9186  ,-10.843  ,iso-1
18017  ,3.492e+002  ,-2.2231  ,9.9186  ,-12.289  ,iso-1
18018  ,3.484e+002  ,-2.2231  ,9.9186  ,-13.735  ,iso-1
18019  ,3.478e+002  ,-2.2231  ,9.9186  ,-15.182  ,iso-1
18020  ,3.472e+002  ,-2.2231  ,9.9186  ,-16.628  ,iso-1
18021  ,3.467e+002  ,-2.2231  ,9.9186  ,-18.074  ,iso-1
18022  ,3.463e+002  ,-2.2231  ,9.9186  ,-19.521  ,iso-1
18023  ,3.459e+002  ,-2.2231  ,9.9186  ,-20.967  ,iso-1
18024  ,3.456e+002  ,-2.2231  ,9.9186  ,-22.414  ,iso-1
18025  ,3.453e+002  ,-2.2231  ,9.9186  ,-23.86  ,iso-1
18026  ,3.451e+002  ,-2.2231  ,9.9186  ,-25.306  ,iso-1
18027  ,3.448e+002  ,-2.2231  ,9.9186  ,-26.753  ,iso-1
18028  ,3.447e+002  ,-2.2231  ,9.9186  ,-28.199  ,iso-1
18029  ,3.445e+002  ,-2.2231  ,9.9186  ,-29.646  ,iso-1
18030  ,3.445e+002  ,-0.79717  ,9.9186  ,19.532  ,iso-1
